"","X","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat","fact_freq_def","rt_growth","x_var","evo","eco","eco_evo","evo_eco","ln_cr","ln_rt"
"74",121,21,"CR1","CR6",0.6,0.4,8,380,1,1,3.2,1433363.49936652,0.231,0.769,"Treatment","0.6",-0.174353387144778,331106.968353666,0.113093532501617,0.0228128237269587,0.201716430836861,4.95745436230108,14.1755343378439,1.43508452528932
"75",221,21,"CR1","CR6",0.6,0.4,8,380,1,2,5,1827993.96705882,0.9236,0.0764,"Treatment","0.6",0.356674943938732,1688335.22797553,-0.153238152743855,-0.0138107309460322,0.0901259294682151,11.0955859861914,14.4187297306947,1.79175946922805
"76",321,21,"CR1","CR6",0.6,0.4,8,380,1,3,6.4,1533514.32868778,0.0131086142322097,0.98689138576779,"Treatment","0.6",0.209720530982069,20102.2477543341,0.0558978432076057,-0.00588050255717687,-0.105200884680587,-9.50562348440527,14.2430726062735,2.00148000021012
"77",421,21,"CR1","CR6",0.6,0.4,8,380,1,4,10.6,1257918.55221719,0.413063477460902,0.586936522539098,"Treatment","0.6",0.449525097902195,519600.211541416,-0.0416103277277061,0.00392048800178173,-0.0942191089538399,-10.6135582378509,14.044968970281,2.45100509811232
"78",521,21,"CR1","CR6",0.6,0.4,8,380,1,5,15.8,1410075.41484163,0.1015625,0.8984375,"Treatment","0.6",0.370373788296894,143210.784319853,0.0399343248670922,-0.00891429066449852,-0.223223772886275,-4.47980959675593,14.1591537466273,2.82137888640921
"79",621,21,"CR1","CR6",0.6,0.4,8,380,1,6,19.2,1070708.89900452,0.423076923076923,0.576923076923077,"Treatment","0.6",0.184303717997946,452992.226501912,0.0256692327006771,-0.0138421998463342,-0.539252575553965,-1.854418588493,13.8838315095011,3.00568260440716
"80",721,21,"CR1","CR6",0.6,0.4,8,380,1,7,33.8,823167.42081448,0.693786982248521,0.306213017751479,"Treatment","0.6",0.543934782373269,571102.840772177,-0.0512376004365065,0.00268413982862299,-0.0523861345136404,-19.0890205831014,13.6209148864487,3.54961738678043
"81",821,21,"CR1","CR6",0.6,0.4,8,380,1,8,44.8,890980.392217194,0.0967741935483871,0.903225806451613,"Treatment","0.6",0.27466670433971,86223.9089242446,NA,NA,NA,NA,13.7000776997206,3.82428409112014
"82",26,26,"CR2","CR7",0.7,0.3,8,375,1,0,4,385000,0.7,0.3,"Treatment","0.7",NA,269500,0.058718220029543,-0.0292089885264564,-0.497443357645385,-2.01027912953433,12.8609986132699,1.6094379124341
"83",126,26,"CR2","CR7",0.7,0.3,8,375,1,1,5.6,718733.031855203,0.170731707317073,0.829268292682927,"Treatment","0.7",0.277631736598279,122710.517633815,-0.0289962336693059,-0.00882293622359356,0.304278697854926,3.28646075801461,13.4852452629614,1.88706964903238
"84",226,26,"CR2","CR7",0.7,0.3,8,375,1,2,7.4,887179.487239819,0.35036496350365,0.64963503649635,"Treatment","0.7",0.241162056816888,310836.608667966,-0.0168203148089222,0.010300710254253,-0.612396995613246,-1.63292767136882,13.6958025939663,2.12823170584927
"85",326,26,"CR2","CR7",0.7,0.3,8,375,1,3,7.6,759457.013755656,0.451990632318501,0.548009367681499,"Treatment","0.7",0.023530497410194,343267.455866139,-0.0035751979185757,0.00349473798260681,-0.977494970124355,-1.02302316693536,13.5403590013328,2.15176220325946
"86",426,26,"CR2","CR7",0.7,0.3,8,375,1,4,11.6,721990.95040724,0.476,0.524,"Treatment","0.7",0.38193461069797,343667.692393846,-0.0134563815547553,0.00512214540871475,-0.380648050731339,-2.62709870201279,13.4897678837344,2.53369681395743
"87",526,26,"CR2","CR7",0.7,0.3,8,375,1,5,15.4,673363.49918552,0.571942446043165,0.428057553956835,"Treatment","0.7",0.263584520872721,385125.166800351,-0.0018451306782642,-0.0307489773973694,16.6649320612329,0.0600062452295421,13.4200405804763,2.79728133483015
"88",626,26,"CR2","CR7",0.7,0.3,8,375,1,6,27.6,938159.879457013,0.583333333333333,0.416666666666667,"Treatment","0.7",0.556125382995654,547259.929683257,0.0064579381309032,-0.0178277708754842,-2.76059796704661,-0.362240359493504,13.7516756606462,3.35340671782581
"89",726,26,"CR2","CR7",0.7,0.3,8,375,1,7,28,1094419.30642534,0.551724137931034,0.448275862068966,"Treatment","0.7",0.0138891121606672,603817.548372601,-0.0123315721824765,-0.0408027513928104,3.30880367799266,0.30222403542741,13.9057344667998,3.36729582998647
"90",826,26,"CR2","CR7",0.7,0.3,8,375,1,8,30.8,1446877.82823529,0.6,0.4,"Treatment","0.7",0.0921704597996569,868126.696941174,NA,NA,NA,NA,14.1849185709747,3.45946628978613
"91",27,27,"CR1","CR7",0.7,0.3,9,374,1,0,4,385000,0.7,0.3,"Treatment","0.7",NA,269500,0.0929172817802122,-0.473743107010782,-5.09854677121722,-0.196134319223134,12.8609986132699,1.6094379124341
"92",127,27,"CR1","CR7",0.7,0.3,9,374,1,1,3.4,2066184.0119457,0.534,0.466,"Treatment","0.7",-0.127833371509885,1103342.262379,-0.120233408225427,0.166239666811833,-1.38264122480957,-0.723253423994884,14.541213991465,1.48160454092422
"93",227,27,"CR1","CR7",0.7,0.3,9,374,1,2,4.2,1467993.96705882,0.682978723404255,0.317021276595745,"Treatment","0.7",0.167054084663166,1002608.64558698,0.309291898122904,0.0681906017523734,0.220473288069371,4.53569685813982,14.1994073785152,1.64865862558738
"94",327,27,"CR1","CR7",0.7,0.3,9,374,1,3,5.4,1113001.50841629,0.158208955223881,0.841791044776119,"Treatment","0.7",0.207639364778245,176086.805809145,0.0154308692312467,0.00403130171808769,0.261249166049863,3.82776341498115,13.9225709855275,1.85629799036563
"95",427,27,"CR1","CR7",0.7,0.3,9,374,1,4,7.2,1051101.0559276,0.126984126984127,0.873015873015873,"Treatment","0.7",0.247836163904581,133473.14995906,-0.0156176623663425,-0.0111023888297577,0.710886723590875,1.40669387514897,13.8653487974038,2.10413415427021
"96",527,27,"CR1","CR7",0.7,0.3,9,374,1,5,12.4,1222262.44343891,0.157068062827225,0.842931937172775,"Treatment","0.7",0.491120552686658,191978.39425742,0.0226510222525296,0.0129401618430963,0.57128379014555,1.75044350504891,14.0162141611532,2.59525470695687
"97",627,27,"CR1","CR7",0.7,0.3,9,374,1,6,22.8,1012187.02859728,0.112676056338028,0.887323943661972,"Treatment","0.7",0.574430873720563,114049.242658848,-0.0997243207137021,0.0298344125998972,-0.299168872611814,-3.34259373734228,13.827623922621,3.16968558067743
"98",727,27,"CR1","CR7",0.7,0.3,9,374,1,7,36,737134.238552036,0.36231884057971,0.63768115942029,"Treatment","0.7",0.441232331966795,267077.622663781,-0.116885718100111,-0.0461259871508209,0.394624663308436,2.53405347657758,13.5105252964473,3.61091791264422
"99",827,27,"CR1","CR7",0.7,0.3,9,374,1,8,37,933031.674027149,0.668789808917197,0.331210191082803,"Treatment","0.7",0.0266682470821613,624002.074986309,NA,NA,NA,NA,13.7461944278354,3.63758615972639
"100",28,28,"CR2","CR7",0.6,0.4,9,373,1,0,4,385000,0.6,0.4,"Treatment","0.6",NA,231000,0.0227719102604481,-0.0130322388117891,-0.572294491886544,-1.74735213107424,12.8609986132699,1.6094379124341
"101",128,28,"CR2","CR7",0.6,0.4,9,373,1,1,4.22222222222222,815625.942624434,0.13768115942029,0.86231884057971,"Treatment","0.6",0.0434851119397384,112296.325433799,-0.00712201643733626,-0.000260075173087099,0.036517070042648,27.3844533209293,13.6117111252006,1.65292302437384
