"","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat"
"402",2,"CR1","CR7",0,1,3,399,1,4,11.4,756500.754027149,NA,NA,"Control"
"403",3,"CR2","CR7",0.9,0.1,2,398,1,4,15.4,886334.841447964,0.659722222222222,0.340277777777778,"Treatment"
"404",4,"CR1","CR7",0,1,7,397,1,4,12,2022141.77972851,NA,NA,"Control"
"405",5,"CR2","CR6",0.8,0.2,7,396,1,4,10.4,657254.901719457,0.492753623188406,0.507246376811594,"Treatment"
"408",8,"CR2","CR7",0.9,0.1,5,393,1,4,13.4,833604.826425339,0.573770491803279,0.426229508196721,"Treatment"
"409",9,"CR1","CR6",0.9,0.1,5,392,1,4,13.2,1404766.21411765,0.706175298804781,0.293824701195219,"Treatment"
"410",10,"CR1","CR6",0,1,2,391,1,4,8.4,1784615.38479638,NA,NA,"Control"
"411",11,"CR1","CR6",0.8,0.2,9,390,1,4,11,1812307.69248869,0.755501222493888,0.244498777506112,"Treatment"
"412",12,"CR1","CR7",0.7,0.3,1,389,1,4,10.2,1892006.03294118,0.18854748603352,0.81145251396648,"Treatment"
"415",15,"CR2","CR7",0.7,0.3,10,386,1,4,10.2,693152.338099547,0.606060606060606,0.393939393939394,"Treatment"
"416",16,"CR2","CR6",0.8,0.2,8,385,1,4,9.6,953061.84,0.665768194070081,0.334231805929919,"Treatment"
"421",21,"CR1","CR6",0.6,0.4,8,380,1,4,10.6,1257918.55221719,0.413063477460902,0.586936522539098,"Treatment"
