Kc1,Kc2,P1,P2,dist,run,start_freq,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
1,5.490909091,0.9,0.450909091,37,37,0.7,3.548509832,0,0.641558442,1,0.358441558,4.513307779,1
1,5.421212121,0.9,0.457878788,38,38,0.7,3.509084841,0,0.631601732,1,0.368398268,4.443263191,1
1,5.351515152,0.9,0.464848485,39,39,0.7,3.499778998,0,0.621645022,1,0.378354978,4.373218604,1
1,5.281818182,0.9,0.471818182,40,40,0.7,3.471617337,0,0.611688312,1,0.388311688,4.303174016,1
1,5.212121212,0.9,0.478787879,41,41,0.7,3.450395705,0,0.601731602,1,0.398268398,4.233129428,1
1,5.142424242,0.9,0.485757576,42,42,0.7,3.439298363,0,0.591774892,1,0.408225108,4.163084841,1
1,5.072727273,0.9,0.492727273,43,43,0.7,3.450273107,0,0.581818182,1,0.418181818,4.093040253,1
1,5.003030303,0.9,0.49969697,44,44,0.7,3.446606807,0,0.571861472,1,0.428138528,4.022995665,1
1,4.933333333,0.9,0.506666667,45,45,0.7,3.44673405,0,0.561904762,1,0.438095238,3.952951078,1
1,4.863636364,0.9,0.513636364,46,46,0.7,3.419713283,0,0.551948052,1,0.448051948,3.88290649,1
1,4.793939394,0.9,0.520606061,47,47,0.7,3.356162708,0,0.541991342,1,0.458008658,3.812861902,1
1,4.724242424,0.9,0.527575758,48,48,0.7,3.335766157,0,0.532034632,1,0.467965368,3.742817315,1
1,4.654545455,0.9,0.534545455,49,49,0.7,3.281724768,0,0.522077922,1,0.477922078,3.672772727,1
1,4.584848485,0.9,0.541515152,50,50,0.7,3.260563629,0,0.512121212,1,0.487878788,3.602728139,1
1,4.515151515,0.9,0.548484848,51,51,0.7,3.270016824,0,0.502164502,1,0.497835498,3.532683552,1
1,4.445454545,0.9,0.555454545,52,52,0.7,3.228287061,0,0.492207792,1,0.507792208,3.462638964,1
1,4.375757576,0.9,0.562424242,53,53,0.7,3.185823398,0,0.482251082,1,0.517748918,3.392594376,1
1,4.306060606,0.9,0.569393939,54,54,0.7,3.135220892,0,0.472294372,1,0.527705628,3.322549789,1
1,4.236363636,0.9,0.576363636,55,55,0.7,3.109156259,0,0.462337662,1,0.537662338,3.252505201,1
1,4.166666667,0.9,0.583333333,56,56,0.7,3.098244144,0,0.452380952,1,0.547619048,3.182460613,1
1,4.096969697,0.9,0.59030303,57,57,0.7,3.12126649,0,0.442424242,1,0.557575758,3.112416026,1
1,4.027272727,0.9,0.597272727,58,58,0.7,3.114835595,0,0.432467532,1,0.567532468,3.042371438,1
1,3.957575758,0.9,0.604242424,59,59,0.7,3.076391205,0,0.422510823,1,0.577489177,2.97232685,1
1,3.887878788,0.9,0.611212121,60,60,0.7,3.048111391,0,0.412554113,1,0.587445887,2.902282263,1
1,3.818181818,0.9,0.618181818,61,61,0.7,2.982239613,0,0.402597403,1,0.597402597,2.832237675,1
1,3.748484848,0.9,0.625151515,62,62,0.7,2.983671852,0,0.392640693,1,0.607359307,2.762193087,1
1,3.678787879,0.9,0.632121212,63,63,0.7,3.029848449,0,0.382683983,1,0.617316017,2.6921485,1
1,3.609090909,0.9,0.639090909,64,64,0.7,2.883868813,0,0.372727273,1,0.627272727,2.622103912,1
1,3.539393939,0.9,0.646060606,65,65,0.7,2.837213821,0,0.362770563,1,0.637229437,2.552059324,1
1,3.46969697,0.9,0.653030303,66,66,0.7,2.817814182,0,0.352813853,1,0.647186147,2.482014737,1
1,3.4,0.9,0.66,67,67,0.7,2.813615231,0,0.342857143,1,0.657142857,2.411970149,1
1,3.33030303,0.9,0.666969697,68,68,0.7,2.76232456,0,0.332900433,1,0.667099567,2.341925561,1
1,3.260606061,0.9,0.673939394,69,69,0.7,2.722278701,0,0.322943723,1,0.677056277,2.271880974,1
1,3.190909091,0.9,0.680909091,70,70,0.7,2.698367616,0,0.312987013,1,0.687012987,2.201836386,1
1,3.121212121,0.9,0.687878788,71,71,0.7,2.699666691,0,0.303030303,1,0.696969697,2.131791798,1
1,3.051515152,0.9,0.694848485,72,72,0.7,2.622707213,0,0.293073593,1,0.706926407,2.061747211,1
1,2.981818182,0.9,0.701818182,73,73,0.7,2.562810591,0,0.283116883,1,0.716883117,1.991702623,1
1,2.912121212,0.9,0.708787879,74,74,0.7,2.526403507,0,0.273160173,1,0.726839827,1.921658035,1
1,2.842424242,0.9,0.715757576,75,75,0.7,2.545742607,0,0.263203463,1,0.736796537,1.851613448,1
1,2.772727273,0.9,0.722727273,76,76,0.7,2.470327962,0,0.253246753,1,0.746753247,1.78156886,1
1,2.703030303,0.9,0.72969697,77,77,0.7,2.401175307,0,0.243290043,1,0.756709957,1.711524272,1
1,2.633333333,0.9,0.736666667,78,78,0.7,2.387341256,0,0.233333333,1,0.766666667,1.641479685,1
1,2.563636364,0.9,0.743636364,79,79,0.7,2.400684548,0,0.223376623,1,0.776623377,1.571435097,1
1,2.493939394,0.9,0.750606061,80,80,0.7,2.278759701,0,0.213419913,1,0.786580087,1.501390509,1
1,2.424242424,0.9,0.757575758,81,81,0.7,2.21194657,0,0.203463203,1,0.796536797,1.431345922,1
1,2.354545455,0.9,0.764545455,82,82,0.7,2.244377544,0,0.193506494,1,0.806493506,1.361301334,1
1,2.284848485,0.9,0.771515152,83,83,0.7,2.149715477,0,0.183549784,1,0.816450216,1.291256746,1
1,2.215151515,0.9,0.778484848,84,84,0.7,2.039490531,0,0.173593074,1,0.826406926,1.221212159,1
1,2.145454545,0.9,0.785454545,85,85,0.7,1.994068024,0,0.163636364,1,0.836363636,1.151167571,1
1,2.075757576,0.9,0.792424242,86,86,0.7,1.953283637,0,0.153679654,1,0.846320346,1.081122983,1
1,2.006060606,0.9,0.799393939,87,87,0.7,1.874973769,0,0.143722944,1,0.856277056,1.011078396,1
1,1.936363636,0.9,0.806363636,88,88,0.7,1.775909032,0,0.133766234,1,0.866233766,0.941033808,1
1,1.866666667,0.9,0.813333333,89,89,0.7,1.705959211,0,0.123809524,1,0.876190476,0.87098922,1
1,1.796969697,0.9,0.82030303,90,90,0.7,1.590927813,0,0.113852814,1,0.886147186,0.800944633,1
1,1.727272727,0.9,0.827272727,91,91,0.7,1.470672386,0,0.103896104,1,0.896103896,0.730900045,1
1,1.657575758,0.9,0.834242424,92,92,0.7,1.36237647,0,0.093939394,1,0.906060606,0.660855458,1
1,1.587878788,0.9,0.841212121,93,93,0.7,1.214975447,0,0.083982684,1,0.916017316,0.59081087,1
1,1.518181818,0.9,0.848181818,94,94,0.7,1.106856847,0,0.074025974,1,0.925974026,0.520766282,1
1,1.448484848,0.9,0.855151515,95,95,0.7,0.882525024,0,0.064069264,1,0.935930736,0.450721695,1
1,1.378787879,0.9,0.862121212,96,96,0.7,0.738872359,0,0.054112554,1,0.945887446,0.380677107,1
1,1.309090909,0.9,0.869090909,97,97,0.7,0.458203032,0,0.044155844,1,0.955844156,0.310632519,1
1,1.239393939,0.9,0.876060606,98,98,0.7,0.137257748,0,0.034199134,1,0.965800866,0.240587932,1
1,1.16969697,0.9,0.883030303,99,99,0.7,-0.276371672,0,0.024242424,1,0.975757576,0.170543344,1
1,1.1,0.9,0.89,100,100,0.7,-0.93162066,0,0.014285714,1,0.985714286,0.100498756,1
1,8,0.9,0.2,1,1,0.8,4.303776261,0,1,1,0,7.034912935,1
1,7.93030303,0.9,0.206969697,2,2,0.8,4.282168509,0,0.99004329,1,0.00995671,6.964868347,1
1,7.860606061,0.9,0.213939394,3,3,0.8,4.231097293,0,0.98008658,1,0.01991342,6.894823759,1
