Kc1,Kc2,P1,P2,dist,run,start_freq,ln_eco_evo,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
2,2.517171717,0.8,0.748282828,93,93,0.6,NA,1.091200798,0,0.086195286,1,0.913804714,0.519751143,2
2,2.457575758,0.8,0.754242424,94,94,0.6,NA,0.952153539,0,0.076262626,1,0.923737374,0.459857945,2
2,2.397979798,0.8,0.76020202,95,95,0.6,NA,0.776148004,0,0.066329966,1,0.933670034,0.399964747,2
2,2.338383838,0.8,0.766161616,96,96,0.6,NA,0.561047962,0,0.056397306,1,0.943602694,0.340071549,2
2,2.278787879,0.8,0.772121212,97,97,0.6,NA,0.330099571,0,0.046464646,1,0.953535354,0.280178351,2
2,2.219191919,0.8,0.778080808,98,98,0.6,NA,0.075699992,0,0.036531987,1,0.963468013,0.220285153,2
2,2.15959596,0.8,0.784040404,99,99,0.6,NA,-0.329644831,0,0.026599327,1,0.973400673,0.160391954,2
2,2.1,0.8,0.79,100,100,0.6,NA,-0.85427983,0,0.016666667,1,0.983333333,0.100498756,2
2,8,0.8,0.2,1,1,0.7,NA,3.555112575,0,1,1,0,6.029925373,2
2,7.94040404,0.8,0.205959596,2,2,0.7,NA,3.557263408,0,0.99006734,1,0.00993266,5.970032175,2
2,7.880808081,0.8,0.211919192,3,3,0.7,NA,3.563748348,0,0.98013468,1,0.01986532,5.910138976,2
2,7.821212121,0.8,0.217878788,4,4,0.7,NA,3.546237132,0,0.97020202,1,0.02979798,5.850245778,2
2,7.761616162,0.8,0.223838384,5,5,0.7,NA,3.500756196,0,0.96026936,1,0.03973064,5.79035258,2
2,7.702020202,0.8,0.22979798,6,6,0.7,NA,3.487767842,0,0.9503367,1,0.0496633,5.730459382,2
2,7.642424242,0.8,0.235757576,7,7,0.7,NA,3.47081566,0,0.94040404,1,0.05959596,5.670566184,2
2,7.582828283,0.8,0.241717172,8,8,0.7,NA,3.507114255,0,0.93047138,1,0.06952862,5.610672986,2
2,7.523232323,0.8,0.247676768,9,9,0.7,NA,3.438882794,0,0.920538721,1,0.079461279,5.550779788,2
2,7.463636364,0.8,0.253636364,10,10,0.7,NA,3.475960835,0,0.910606061,1,0.089393939,5.490886589,2
2,7.404040404,0.8,0.25959596,11,11,0.7,NA,3.400203875,0,0.900673401,1,0.099326599,5.430993391,2
2,7.344444444,0.8,0.265555556,12,12,0.7,NA,3.368046244,0,0.890740741,1,0.109259259,5.371100193,2
2,7.284848485,0.8,0.271515152,13,13,0.7,NA,3.373045115,0,0.880808081,1,0.119191919,5.311206995,2
2,7.225252525,0.8,0.277474747,14,14,0.7,NA,3.397315021,0,0.870875421,1,0.129124579,5.251313797,2
2,7.165656566,0.8,0.283434343,15,15,0.7,NA,3.361304286,0,0.860942761,1,0.139057239,5.191420599,2
2,7.106060606,0.8,0.289393939,16,16,0.7,NA,3.390023899,0,0.851010101,1,0.148989899,5.1315274,2
2,7.046464646,0.8,0.295353535,17,17,0.7,NA,3.346494209,0,0.841077441,1,0.158922559,5.071634202,2
2,6.986868687,0.8,0.301313131,18,18,0.7,NA,3.354553092,0,0.831144781,1,0.168855219,5.011741004,2
2,6.927272727,0.8,0.307272727,19,19,0.7,NA,3.309930066,0,0.821212121,1,0.178787879,4.951847806,2
2,6.867676768,0.8,0.313232323,20,20,0.7,NA,3.285791589,0,0.811279461,1,0.188720539,4.891954608,2
2,6.808080808,0.8,0.319191919,21,21,0.7,NA,3.270203199,0,0.801346801,1,0.198653199,4.83206141,2
2,6.748484848,0.8,0.325151515,22,22,0.7,NA,3.259284101,0,0.791414141,1,0.208585859,4.772168212,2
2,6.688888889,0.8,0.331111111,23,23,0.7,NA,3.253153838,0,0.781481481,1,0.218518519,4.712275013,2
2,6.629292929,0.8,0.337070707,24,24,0.7,NA,3.254545331,0,0.771548822,1,0.228451178,4.652381815,2
2,6.56969697,0.8,0.343030303,25,25,0.7,NA,3.251826168,0,0.761616162,1,0.238383838,4.592488617,2
2,6.51010101,0.8,0.348989899,26,26,0.7,NA,3.235419005,0,0.751683502,1,0.248316498,4.532595419,2
2,6.450505051,0.8,0.354949495,27,27,0.7,NA,3.229295529,0,0.741750842,1,0.258249158,4.472702221,2
2,6.390909091,0.8,0.360909091,28,28,0.7,NA,3.225765218,0,0.731818182,1,0.268181818,4.412809023,2
2,6.331313131,0.8,0.366868687,29,29,0.7,NA,3.23547304,0,0.721885522,1,0.278114478,4.352915825,2
2,6.271717172,0.8,0.372828283,30,30,0.7,NA,3.223498381,0,0.711952862,1,0.288047138,4.293022626,2
2,6.212121212,0.8,0.378787879,31,31,0.7,NA,3.217916666,0,0.702020202,1,0.297979798,4.233129428,2
2,6.152525253,0.8,0.384747475,32,32,0.7,NA,3.223959569,0,0.692087542,1,0.307912458,4.17323623,2
2,6.092929293,0.8,0.390707071,33,33,0.7,NA,3.201740569,0,0.682154882,1,0.317845118,4.113343032,2
2,6.033333333,0.8,0.396666667,34,34,0.7,NA,3.186534341,0,0.672222222,1,0.327777778,4.053449834,2
2,5.973737374,0.8,0.402626263,35,35,0.7,NA,3.175478329,0,0.662289562,1,0.337710438,3.993556636,2
2,5.914141414,0.8,0.408585859,36,36,0.7,NA,3.169132267,0,0.652356902,1,0.347643098,3.933663438,2
2,5.854545455,0.8,0.414545455,37,37,0.7,NA,3.164303055,0,0.642424242,1,0.357575758,3.873770239,2
2,5.794949495,0.8,0.420505051,38,38,0.7,NA,3.1729302,0,0.632491582,1,0.367508418,3.813877041,2
2,5.735353535,0.8,0.426464646,39,39,0.7,NA,3.170127393,0,0.622558923,1,0.377441077,3.753983843,2
2,5.675757576,0.8,0.432424242,40,40,0.7,NA,3.148245896,0,0.612626263,1,0.387373737,3.694090645,2
2,5.616161616,0.8,0.438383838,41,41,0.7,NA,3.124860872,0,0.602693603,1,0.397306397,3.634197447,2
2,5.556565657,0.8,0.444343434,42,42,0.7,NA,3.102802962,0,0.592760943,1,0.407239057,3.574304249,2
2,5.496969697,0.8,0.45030303,43,43,0.7,NA,3.085587365,0,0.582828283,1,0.417171717,3.514411051,2
2,5.437373737,0.8,0.456262626,44,44,0.7,NA,3.067979348,0,0.572895623,1,0.427104377,3.454517852,2
2,5.377777778,0.8,0.462222222,45,45,0.7,NA,3.039609494,0,0.562962963,1,0.437037037,3.394624654,2
2,5.318181818,0.8,0.468181818,46,46,0.7,NA,3.056863188,0,0.553030303,1,0.446969697,3.334731456,2
2,5.258585859,0.8,0.474141414,47,47,0.7,NA,3.066253935,0,0.543097643,1,0.456902357,3.274838258,2
2,5.198989899,0.8,0.48010101,48,48,0.7,NA,3.07019961,0,0.533164983,1,0.466835017,3.21494506,2
2,5.139393939,0.8,0.486060606,49,49,0.7,NA,3.046060964,0,0.523232323,1,0.476767677,3.155051862,2
2,5.07979798,0.8,0.492020202,50,50,0.7,NA,3.022454143,0,0.513299663,1,0.486700337,3.095158664,2
2,5.02020202,0.8,0.497979798,51,51,0.7,NA,3.006082175,0,0.503367003,1,0.496632997,3.035265465,2
2,4.960606061,0.8,0.503939394,52,52,0.7,NA,2.994230292,0,0.493434343,1,0.506565657,2.975372267,2
2,4.901010101,0.8,0.50989899,53,53,0.7,NA,2.98707338,0,0.483501684,1,0.516498316,2.915479069,2
2,4.841414141,0.8,0.515858586,54,54,0.7,NA,2.994898415,0,0.473569024,1,0.526430976,2.855585871,2
2,4.781818182,0.8,0.521818182,55,55,0.7,NA,3.004415599,0,0.463636364,1,0.536363636,2.795692673,2
2,4.722222222,0.8,0.527777778,56,56,0.7,NA,2.953108675,0,0.453703704,1,0.546296296,2.735799475,2
2,4.662626263,0.8,0.533737374,57,57,0.7,NA,2.910468717,0,0.443771044,1,0.556228956,2.675906276,2
2,4.603030303,0.8,0.53969697,58,58,0.7,NA,2.881424118,0,0.433838384,1,0.566161616,2.616013078,2
2,4.543434343,0.8,0.545656566,59,59,0.7,NA,2.858132594,0,0.423905724,1,0.576094276,2.55611988,2
2,4.483838384,0.8,0.551616162,60,60,0.7,NA,2.842315388,0,0.413973064,1,0.586026936,2.496226682,2
2,4.424242424,0.8,0.557575758,61,61,0.7,NA,2.839873406,0,0.404040404,1,0.595959596,2.436333484,2
2,4.364646465,0.8,0.563535354,62,62,0.7,NA,2.79916989,0,0.394107744,1,0.605892256,2.376440286,2
